sep=,
"Time","w_meas"
s,rad/s
1.0000000000000E-02,1.4200825324287E+01
2.0000000000000E-02,9.2389397042929E-01
3.0000000000000E-02,5.9602924568119E+00
4.0000000000000E-02,3.1645638712139E+01
5.0000000000000E-02,6.7992002155762E+01
6.0000000000000E-02,9.0369149882526E+01
7.0000000000000E-02,1.2289565082218E+02
8.0000000000000E-02,1.5420881487562E+02
9.0000000000000E-02,2.0218785792898E+02
1.0000000000000E-01,2.3082382009531E+02
1.1000000000000E-01,2.4531962487608E+02
1.2000000000000E-01,2.8392402328412E+02
1.3000000000000E-01,3.1457104711993E+02
1.4000000000000E-01,3.3006759405753E+02
1.5000000000000E-01,3.6498963713942E+02
1.6000000000000E-01,3.8529935980973E+02
1.7000000000000E-01,3.9675619837737E+02
1.8000000000000E-01,4.3339670607570E+02
1.9000000000000E-01,4.4614196538818E+02
2.0000000000000E-01,4.7164609478872E+02
2.1000000000000E-01,4.9777804324757E+02
2.2000000000000E-01,5.0464432017473E+02
2.3000000000000E-01,5.3583497139655E+02
2.4000000000000E-01,5.4747953160421E+02
2.5000000000000E-01,5.7159839042305E+02
2.6000000000000E-01,5.9127914580796E+02
2.7000000000000E-01,6.0011098566133E+02
2.8000000000000E-01,6.1659117102583E+02
2.9000000000000E-01,6.3093589168614E+02
3.0000000000000E-01,6.4448652581024E+02
3.1000000000000E-01,6.6115201724540E+02
3.2000000000000E-01,6.7273541770881E+02
3.3000000000000E-01,6.8929950371612E+02
3.4000000000000E-01,7.0102023972371E+02
3.5000000000000E-01,7.1735776567417E+02
3.6000000000000E-01,7.2974787790075E+02
3.7000000000000E-01,7.4114150515835E+02
3.8000000000000E-01,7.5186964948327E+02
3.9000000000000E-01,7.7784399477389E+02
4.0000000000000E-01,7.8169894209633E+02
4.1000000000000E-01,7.8919586757636E+02
4.2000000000000E-01,7.9614930130264E+02
4.3000000000000E-01,8.0881893469141E+02
4.4000000000000E-01,8.1289241126033E+02
4.5000000000000E-01,8.3877743217477E+02
4.6000000000000E-01,8.4326524509182E+02
4.7000000000000E-01,8.5852655367750E+02
4.8000000000000E-01,8.5795764159532E+02
4.9000000000000E-01,8.6934602152643E+02
5.0000000000000E-01,8.7961233577149E+02
5.1000000000000E-01,8.7312794231727E+02
5.2000000000000E-01,8.9930983304441E+02
5.3000000000000E-01,8.9083549447934E+02
5.4000000000000E-01,9.1285285957278E+02
5.5000000000000E-01,9.0702466354292E+02
5.6000000000000E-01,9.2378795677659E+02
5.7000000000000E-01,9.3135416080916E+02
5.8000000000000E-01,9.3319230578855E+02
