sep=,
"Time","w"
s,rad/s
0.0000000000000E+00,0.0000000000000E+00
1.0000000000000E-02,5.4961085595001E+00
2.0000000000000E-02,3.2122780670546E+01
3.0000000000000E-02,6.8962446483967E+01
4.0000000000000E-02,1.0493611665489E+02
5.0000000000000E-02,1.3975096406870E+02
6.0000000000000E-02,1.7335889011398E+02
7.0000000000000E-02,2.0579744858640E+02
8.0000000000000E-02,2.3710658484122E+02
9.0000000000000E-02,2.6732557287032E+02
1.0000000000000E-01,2.9649236364343E+02
1.1000000000000E-01,3.2464359316920E+02
1.2000000000000E-01,3.5181462230773E+02
1.3000000000000E-01,3.7803958074578E+02
1.4000000000000E-01,4.0335140981030E+02
1.5000000000000E-01,4.2778190384152E+02
1.6000000000000E-01,4.5136175012951E+02
1.7000000000000E-01,4.7412056746063E+02
1.8000000000000E-01,4.9608694332182E+02
1.9000000000000E-01,5.1728846980954E+02
2.0000000000000E-01,5.3775177828838E+02
2.1000000000000E-01,5.5750257284286E+02
2.2000000000000E-01,5.7656566256446E+02
2.3000000000000E-01,5.9496499271453E+02
2.4000000000000E-01,6.1272367480202E+02
2.5000000000000E-01,6.2986401561401E+02
2.6000000000000E-01,6.4640754523539E+02
2.7000000000000E-01,6.6237504409295E+02
2.8000000000000E-01,6.7778656905776E+02
2.9000000000000E-01,6.9266147863878E+02
3.0000000000000E-01,7.0701845729913E+02
3.1000000000000E-01,7.2087553892584E+02
3.2000000000000E-01,7.3425012948222E+02
3.3000000000000E-01,7.4715902887171E+02
3.4000000000000E-01,7.5961845204024E+02
3.5000000000000E-01,7.7164404934398E+02
3.6000000000000E-01,7.8325092620785E+02
3.7000000000000E-01,7.9445366209946E+02
3.8000000000000E-01,8.0526632884259E+02
3.9000000000000E-01,8.1570250829276E+02
4.0000000000000E-01,8.2577530939757E+02
4.1000000000000E-01,8.3549738466292E+02
4.2000000000000E-01,8.4488094604585E+02
4.3000000000000E-01,8.5393778029409E+02
4.4000000000000E-01,8.6267926375147E+02
4.5000000000000E-01,8.7111637664777E+02
4.6000000000000E-01,8.7925971689112E+02
4.7000000000000E-01,8.8711951338004E+02
4.8000000000000E-01,8.9470563885203E+02
4.9000000000000E-01,9.0202762228479E+02
5.0000000000000E-01,9.0909466086565E+02
5.1000000000000E-01,9.1591563154413E+02
5.2000000000000E-01,9.2249910218243E+02
5.3000000000000E-01,9.2885334231749E+02
5.4000000000000E-01,9.3498633354846E+02
5.5000000000000E-01,9.4090577956241E+02
5.6000000000000E-01,9.4661911581097E+02
