sep=,
"Time","w"
s,rad/s
0.0000000000000E+00,0.0000000000000E+00
1.0000000000000E-02,3.9650872826933E+00
2.0000000000000E-02,2.5818325135680E+01
3.0000000000000E-02,5.6373011482404E+01
4.0000000000000E-02,8.6336380040252E+01
5.0000000000000E-02,1.1551668079237E+02
6.0000000000000E-02,1.4388002523281E+02
7.0000000000000E-02,1.7144717728794E+02
8.0000000000000E-02,1.9824013701661E+02
9.0000000000000E-02,2.2428062844581E+02
1.0000000000000E-01,2.4958978197108E+02
1.1000000000000E-01,2.7418813680981E+02
1.2000000000000E-01,2.9809565547735E+02
1.3000000000000E-01,3.2133173986424E+02
1.4000000000000E-01,3.4391524696675E+02
1.5000000000000E-01,3.6586450418914E+02
1.6000000000000E-01,3.8719732421695E+02
1.7000000000000E-01,4.0793101947269E+02
1.8000000000000E-01,4.2808241616556E+02
1.9000000000000E-01,4.4766786794656E+02
2.0000000000000E-01,4.6670326918015E+02
2.1000000000000E-01,4.8520406784312E+02
2.2000000000000E-01,5.0318527806127E+02
2.3000000000000E-01,5.2066149229391E+02
2.4000000000000E-01,5.3764689317628E+02
2.5000000000000E-01,5.5415526502925E+02
2.6000000000000E-01,5.7020000504588E+02
2.7000000000000E-01,5.8579413416378E+02
2.8000000000000E-01,6.0095030763206E+02
2.9000000000000E-01,6.1568082528162E+02
3.0000000000000E-01,6.2999764150691E+02
3.1000000000000E-01,6.4391237496740E+02
3.2000000000000E-01,6.5743631801659E+02
3.3000000000000E-01,6.7058044586618E+02
3.4000000000000E-01,6.8335542549291E+02
3.5000000000000E-01,6.9577162429520E+02
3.6000000000000E-01,7.0783911850674E+02
3.7000000000000E-01,7.1956770137372E+02
3.8000000000000E-01,7.3096689110245E+02
3.9000000000000E-01,7.4204593858373E+02
4.0000000000000E-01,7.5281383490035E+02
4.1000000000000E-01,7.6327931862371E+02
4.2000000000000E-01,7.7345088290547E+02
4.3000000000000E-01,7.8333678237010E+02
4.4000000000000E-01,7.9294503981387E+02
4.5000000000000E-01,8.0228345271558E+02
4.6000000000000E-01,8.1135959956462E+02
4.7000000000000E-01,8.2018084601113E+02
4.8000000000000E-01,8.2875435084355E+02
4.9000000000000E-01,8.3708707179828E+02
5.0000000000000E-01,8.4518577120610E+02
5.1000000000000E-01,8.5305702148012E+02
5.2000000000000E-01,8.6070721044954E+02
5.3000000000000E-01,8.6814254654359E+02
5.4000000000000E-01,8.7536906382997E+02
5.5000000000000E-01,8.8239262691168E+02
5.6000000000000E-01,8.8921893568641E+02
