sep=,
"Time","w"
s,rad/s
0.0000000000000E+00,0.0000000000000E+00
1.0000000000000E-02,1.6640112074373E+00
2.0000000000000E-02,1.5563368962157E+01
3.0000000000000E-02,3.4251778996031E+01
4.0000000000000E-02,5.1990466224900E+01
5.0000000000000E-02,6.9467900109138E+01
6.0000000000000E-02,8.6583931130271E+01
7.0000000000000E-02,1.0336145467875E+02
8.0000000000000E-02,1.1980484295940E+02
9.0000000000000E-02,1.3592109935867E+02
1.0000000000000E-01,1.5171667955415E+02
1.1000000000000E-01,1.6719797213779E+02
1.2000000000000E-01,1.8237122936522E+02
1.3000000000000E-01,1.9724258047494E+02
1.4000000000000E-01,2.1181803254221E+02
1.5000000000000E-01,2.2610347314930E+02
1.6000000000000E-01,2.4010467272706E+02
1.7000000000000E-01,2.5382728689132E+02
1.8000000000000E-01,2.6727685872659E+02
1.9000000000000E-01,2.8045882102523E+02
2.0000000000000E-01,2.9337849848195E+02
2.1000000000000E-01,3.0604110984468E+02
2.2000000000000E-01,3.1845177002259E+02
2.3000000000000E-01,3.3061549215219E+02
2.4000000000000E-01,3.4253718962237E+02
2.5000000000000E-01,3.5422167805906E+02
2.6000000000000E-01,3.6567367727048E+02
2.7000000000000E-01,3.7689781315361E+02
2.8000000000000E-01,3.8789861956279E+02
2.9000000000000E-01,3.9868054014112E+02
3.0000000000000E-01,4.0924793011541E+02
3.1000000000000E-01,4.1960505805541E+02
3.2000000000000E-01,4.2975610759806E+02
3.3000000000000E-01,4.3970517913742E+02
3.4000000000000E-01,4.4945629148097E+02
3.5000000000000E-01,4.5901338347295E+02
3.6000000000000E-01,4.6838031558543E+02
3.7000000000000E-01,4.7756087147769E+02
3.8000000000000E-01,4.8655875952457E+02
3.9000000000000E-01,4.9537761431446E+02
4.0000000000000E-01,5.0402099811740E+02
4.1000000000000E-01,5.1249240232406E+02
4.2000000000000E-01,5.2079524885602E+02
4.3000000000000E-01,5.2893289154800E+02
4.4000000000000E-01,5.3690861750265E+02
4.5000000000000E-01,5.4472564841830E+02
4.6000000000000E-01,5.5238714189032E+02
4.7000000000000E-01,5.5989619268661E+02
4.8000000000000E-01,5.6725583399770E+02
4.9000000000000E-01,5.7446903866194E+02
5.0000000000000E-01,5.8153872036639E+02
5.1000000000000E-01,5.8846773482371E+02
5.2000000000000E-01,5.9525888092575E+02
5.3000000000000E-01,6.0191490187408E+02
5.4000000000000E-01,6.0843848628810E+02
5.5000000000000E-01,6.1483226929107E+02
5.6000000000000E-01,6.2109883357455E+02
